user,text
"martypowers","All bunged up "
"TillyMegan","shattered. netball's hard work "
"SookieSookie","Birthday parties aren't what they used to be..I mean she's turning 30...where are the clowns "
"katomagical","aww i feel well sorry for teri "
"tinytink06","My throat hurts. Stupid weather. "
"brizer","Enjoying my last Mexican lunch  heading back to London tonight"
"susankdailey","My hip is KILLING ME! "
"BEDLAMVoytek","working on a blog idea. too many things to choose from and not enough mechanisms that reinforce our choices. we design for short run "
"christ1ne","wishing I could watch the Red Wings play tonite in the Stanley Cup Playoffs  "
"convoe","Why you should not publish Bidvertiser ads. http://is.gd/tbKa -- I need my Google Adsense back. "
"iFe4r","i had video for 10 seconds... and then it failed  #asot400"
"MizMari","@shinobistalin so snakes are incognito!!!!!!!!!!!!!!! that niggah is gonna bite coco "
"HappyTwilighter","holy crud... i just did it again... made it back up to #16... that's it... it's a sign... i'm not supposed to be doing this silly game "
"messageman3","misses lizzi  and has to pack  &gt;sad&lt;"
"lil_penny7","@bruceko you should tweet me when you're ready to talk. I tried to get you after my shower today but you didn't answer your Skype  &lt;3's"
"lilmisskirsty","@gerbyl LOL you know me so well! its black but there are little pink bits on it and only ONE shop does the pink one, the others are blue! "
"Patti_OShea","@crystaljordan Just wait till you have to unpack. "
"the_drew","Let our agoraphobic cat out 6 hours ago, still no sign. Feel awful "
"MorgaineNYC","Good news - went frolicking in the sun. Bad news - got the first sunburn of the season. "
"AnGiE_25","Is sad bc it's raining and it's just taking time away from spending time with my baby, all bc I can't drive in this stupid weather! "
"struff","@Zoal I still have to get that.  The demo kicks serious ass so I can only imagine how the full version is"
"mama2doxies","I thank everyone for following me. I am on Twitter most of the day, I am unemployed at the moment "
"arkaytee","@megzseattle I'm sorry Megan  Is there anything I can do to help?"
"wolfbane","Desert + Running == Death. Hmm, I seem to have forgotten that little fact. "
"mendoek","One reason the printer wouldn't work: I had accidentally plugged the USB port into a phone outlet :/ Now if it only recognized paper.. "
"ImWithYourBand","upset that some of my favorite bands aren't playing Warped this year. "
"leoynage","@ASOT400 "
"Peter371122","ugh this lame !!! "
"kazstarr","Bloody fireworks sound like bombs going off!! Pen is not a happy little doggie "
"MissBert","One of my little neon fishies died     and was given a lovely funeral in a houseplant."
"xxbhabesxx","@mileycyrus.. Safe Jpurney Cos Imm One Off Uur Fans Lol Thaa Mii &amp;&amp; Uue Never Reply To Anythiiin I Send Uue! Not Fair  lol "
"_Dance_Sissi_","Omigosh it totally sux that 17 Again and Hannah Movie r coming out in July in belgium UGGHH "
"1fan8u","@SpecialKradio oh NO!! it IS broken ?  HAHA I bet you still look HOT 'walking' on em lol"
"hayhayyyy","i hate my mom!! i need to see Demi!! "
"paul_burger","Lost $90 in cash at the mall today. Fell out of my pocket. That puts a damper on the weekend. "
"prettyinpunk1","@xolaurencexo The rumors were that he had cheated on her   I really hope they are not true though."
"laceyanneh","I dont want to go to work. "
"emcarson","had a fab day fought the migraine off before party lack of sleep is catchin up start on case studies again this next week then final exam "
"Jesse","I feel like the only developer not invited to #swfoocamp "
"suzisoama","i am listening music but I still lost in twitter "
"DLudwig89","I have only been working for three and a half hours, but it feels like forever!  "
"jeffo79","Streaming is down in here  #asot400"
"EmilieBrignall","Is stoopid-I spilt a bit of bleach on my pink top so now it just has a small white patch "
"nicnox92","Missed most of tonights the night  goin to have to iplayer it and watch it on a stupid tiny blurry screen."
"littlefoxy","@Solutionizers Yah, that's the problem I can't remember the theme name. "
"almalovesnkotb","my pics are too large to load up "
"albeitludicrous","@sofiesunshine - Aww.  I'd hate to be allergic to an animal."
"Gilly77","@tommcfly Hey, Tommy!! How was the concert here in Amsterdam? I wish I could be there! but I couldn't  ..... srry for that! Love you xoxo"
"EstefanieL","Definitely not enjoying all this rain. Especially since my house got flooded. "
"samhewitt","@Megankeli are you going to melissa's bridal shower on the 26th? I dont think i cam make it "
"EmLenn","Going to work "
"brooklynlovee","@petewentz i feel bad for those fans "
"ESwee","@GabrielSaporta The rain is depressing... "
"neitokun","@basaio poor brandon, i guess the makers of your energy drink decided who ever drinks this will go crazy at 1:30 "
"crazydruid","is totally out of his depth trying to do the final essay for the Development of Political Thought module "
"Radhika_Jit","It's so beautiful outside, but I'm stuck inside doing homework   At least I'll get to spend tomorrow in the sunshine!"
"peteyypablo89","ok time 2 go watch Fast &amp; Furious n get my mind off of my crappy life right now "
"gradynotgrady","doubleheader at Les today-- only 2 more home series left in the season "
"seanthebest","@zRows there aren't any &quot;Sean for dictator&quot; rooms either I bet  it's almost as if no one wants me to be dictator"
"AlenaVogt","@ddlovato hi demi, at which airport in Germany were you? If you were in Munich I missed you by like a day  if you'd answer that'll be grea"
"ammarX","going to bed, alone as usual "
"abberz19","back home. taking a nap because i am wore out, kinda on the sad side since i think its finally quits with the boyfriend "
"crazynluv","My husband gets a nap.  I don't.  "
"Elisabetch","I can seriously never listen to Paparazzi again without getting the chills. That was my jam. "
"HannahLDA","Ahh really bad typo's .. proves ive completely lost it now "
"anarcheological","@bannedaccount I don't know yet. I just know that I'm already sick of the topic I was gonna do. "
"Marilynfreak","All done at the winery...  I had a great time!!!  Now I must drag my rear into work. "
"strangetimes87","@DmitriGunn ME ME ME!! although, from Cambridge, to be precise. i want Mr.Sam though  #asot400"
"roserain","@AmaliaAmelia Why aren't you coming with your aunt? *cries* I want to see you "
"Jlo2116","is having one of those... days "
"ggmxo","@rachelsuzannee yesyesyesyesyesyesyes. i completely agree. but he needs to bring back the curls... i miss them "
"MelissaStasiak","Wow! What a llllllllllooooooooonnnnnnnngggggggg day "
"Lisahjelm","I feel a pat on the back coming on...day 5 of WDPOA done!I do feel deprived as I really wanted chocolate!  Sleep don't think about it!"
"demijayy","wants more celebrities to come to england  .. i miss florida real bad "
"gtm773","@tokyofan That SUCKS!  sorry..... "
"annieweasley","couldn't get into a record store "
"KrystalJML","has to work an overnight shift and has no idea how I 'm  gonna manage. "
"Margauxx_","@OceanUpTwitt It's only for the us country i guess "
"MusixRefresh","Done calc i really want to rest but i have to hit the library again  what you guys up to!?"
"ChicaQt","Watchin Jonathan Creek like a sado bad times "
"Emmyrain","AHH forinside isnt working again "
"Stephaniieee24","has had a really unproductive day  I've got loads to doo arghh"
"ronnuts","Muddy shoes suck! Gotta clean my car now "
"shirobon","doing some crazy ideas for album! im soooo tired "
"jennifer_gould","@jimkerr09 And B'fast  always adores SM,really glad its included on the tour. Every1 likes playing here. 10yrs ago nobody played here "
"lucygoosey28","Still trying to Win Britney tickets to the Phoenix Show "
"nesswaters010","@lexiHaynes I shoulda went with you guys... Now i gotta lay out alone  Haha what'd you get"
"Muffin_club123","i just came back from vortex springs in florida funn!!! im sunburnt tho "
"BibleBarbie","goodbye twitter and twitter friends. . . . leaving for awhile "
"claytonhauck","Apparently I am not aloud to drink while taking photos. No free beer for me "
"brostephen","school is taking back the laptops over the summer.    I guess I really need to invest in my own now."
"mbeige","#ASOT400  i am listening to audio only bad connectioon "
"Jamash","@byteconnector there wasn't any red bull ~  I am just Drunk ( On water Only )"
"rachelsmachel","Work till 10:00pm. I wish you were right now so I'd have something to look forward to when I get out tonight "
"AmandaNicoleeee","I want to go out  Why must history be so, wordy?"
"Faczek","@jferolo If only we didnt have to finish an episode by Monday "
"evme","I went to the international education exhibition in Dubai yesterday, and nothing at all, haven't chosen my university yet "
"missyleyva","after battling in 3 extra innings, the A's lose "
"Brandon2142","Broken my wrist snowboarding "
"chloehamill","britans got talent was good ! now im writing my english  boo hoo"
"Rellz","Got stuff to do n don't wanna do it  I'm sleepy, I need a nap"
"joeribt","Apparently it's record store day. Such a pity does not have a (single good) record store.. "
"gbshaun","Rode 10 miles of dirt trail in Cleveland Nat'l forest. Locked gate 1/3 mile from end  Horsethief Canyon"
"MelodyLeaLamb","@no_crybaby_doGs Oh ,I am so sorry...I am confused about what you are asking.  Maybe go into the forums on CP. They are very helpful!"
"JenniferPlz","being a big butthole and going to work instead of driving to vegas. "
"veronicaocasio","on my way to becky's wedding... byebye sister "
"Ohvintage","*sigh* Nothing to tweet about "
"theotherap","I just realized that I'm going to miss &quot;The Lawrence Welk Show&quot; because I'm not working sports tonight! "
"decima","ugh, i'm ridiculously bored "
"ChiChiNicole","I burnt the tips off my fingers being a fatty this morning "
"reesnicole",":| Well I won't be gettin of work early 2nite... dammit! Ah well. Mistake: left my charger at home!  I'm jus all eff'd up"
"hunni3b","wants to got and ride her horse but its too dark "
"PreetiBC","i miss my indian maids support system...why cant we have it in paris "
"lolfejs","doing old crappy naxxramas "
"emoloz","That fat guy on Britains got talent nearly made me want to hurl, sad am not going to be seeing anymore of this  silly uni and no TV"
"graboidplayer","it's 4 am now. . . i need to go to bed. I am dying of football "
"pan89","The Sword of Truth series has its own show on WGN called Legend of the Seeker...just not the same "
"DeeDutch","you cant plaaaay on broken strings.. ! Unfortunaley !  Now I gotta bike all the way to the guitar store (40 minutes! :O) to buy a new one"
"Mindez","@Biansta Aww, you've ruined my evening "
"Simply_Bre","@missktmurphy Are you going to start tweeting now, my love? Probably not  Hope u're having a more productive day than I am!"
"morgyncarey","Feeling sick again. "
"AugsMom","my kid is wheezing...AGAIN! i surely don't wanna go to the ER  "
"titiburgos","trying not to cry... My haiir!  that STUPID gay ruin it! Dont EVER GO to Eduardo Franco !!! EVER!"
"TimBunn","I lied. I still am not recieving them. "
"DJJazzimus","@#asot400 I can't get any stream video or sound "
"1love7even","It's Sat.. My day off. And I don't know what I want to do.. I'm so board! "
"gaybrielas","i want to eat chocolate   "
"BethanyBump","@Adri_Gon miss you roomie "
"sarahlipstate","@carlosgiffoni I don't have nice things "
"CeCe_23","@Tray115 I think sometime in may? since exams are early this year i dont think its in june idk but ticks are on sale and i have no date "
"Beetledriver","my wisdom tooth canes "
"nunofgs","@ericksilvas hotspotshield sucks  never worked for me."
"tshamysboo","thinks amanda's road rage is hysterical! hahahaha i miss her "
"HBanner","@dbugliari hahaha sorry about u not feeling good, is the game still going on or is it over, if so who won?? its not playing on tv here "
"nackles","how pathetic am I? Listening to &quot;Wouldnt It Be Nice&quot; by The Beach Boys and crying. I hate my life today "
"gillypanda","@AllyAyr Oh bugger - that means he probably lives around here "
"sillybabyjulie","No my hair place closed down no Wtf where am i suppose to get my hair cut? "
"___Andrew","All this negativity sucks "
"ficklampa","@CandiceJarrett Oh no! Did I miss it? *sniff* "
"trancemade","no video no audio nothingggg n nooooooo   #asot400"
"angela0904","@angel0712 And thanks for eating that bagel for me, because I never made it to Panera today. "
"Lauraliz_Turner","I'm hungry. But i can't eat yet "
"denoodel11","@zachsang tell him i'm so sorry   that makes me sad "
"jshbckr","@BrodieMiron  even the AC30? I could have taken that off your hands!"
"fluffrnutr","So nice out! And I'm stuck at work... "
"modelbaje","recovering from a long night on set of CSI new york. It was their season finale "
"TheFabu1ousOne","At home. In bed. With a cold. Life sucks. "
"jarheadstudent","Why have people forsaken ICQ?    This makes me sad in the pants..."
"fauxtronic","Bah. I'm going to the pub.  I can't resist it any longer.  I hate being home alone. "
"days_away","I'm making tacos for dinner.  Making tacos reminds me of taco dia..Which was bangin'.. And i'm sad they closed "
"bengrss","@RAwrbeccah how come? "
"xoitsamber","Wishing i could wake up from today and it just be a bad dream "
"carmom33","He is pretty good for his age, I on the other hand suck really good "
"trancemade","no video no audio nothing nooooooooooooo  #asot400"
"dolphers","I remember &quot;2 Guys a Girl and a Pizza Place.&quot;  That was a hilarious show.  Where the hell are the dvds? "
"kristenjg11","Hanging out at the casa!  Was supposed to go shopping for Prom dresses but Katelyn doesn't feel good!  "
"moogal","@aconite You're not exactly a short bus ride away either  bah. This is useless."
"Caflin","Survey says I should not have used the Facebook email contact feature "
"220life","pastor david blew the roof off the place this morning in the message!! pastor tom is headin home now  1229TIME!"
"hdmovie","it's 4 am now. . . i need to go to bed. I am dying of football "
"meglud","@petewentz awww we already left.  Come to the galleria. PLEASE!"
"sheh","is super duper sad i can't go with vanny and michelle to the mall "
"Penngarooo","hey artygirlr u there i wanna talk to someone! "
"Steph_Sx","Back accchhhe super bad!  not the film Superbad, it's aching superly bad :S Ok really bad  I've confused myself."
"IanaBanana","@mel_co awe babes!!! I so would if I were not broke myself "
"hollybristow","cant find her earphones "
"angela0904","@angel0712 Ugh, that is unprofessional of them. I'll be over to punch the pharmacist in the teeth.  "
"rugbyrose","@MS_laine Me too  I feel the need to know how much of an odious tit Jody is."
"littlegingerkid","Have 100 followers. W00t!           Probably all SEO spammers, though. Bah "
"FearMediocrity","@kidmanproject Shame it won't make it to iPlayer "
"jlphair","Oh My poor nephew is all sicky  &lt;\3JLP"
"hydro17ls","Stressing, everytime speedy tries to make it right he makes it worst "
"kylebice","Good turn out. Evening plans might have gone south "
"cloudlover","@thisgoodlife they are all out in the 'burbs   i don't think Ben is going to drive 45 min for tater tots &amp; a limeade"
"ThayDantas","I go to the show to McFly in Brazil "
"MARCisaballa","sup with @britneyspears following some people, and not me?  how sad. HAHA"
"Hodepwns","i feel bad for che ming wang though, he cant seem to get it together... and has an ERA of 30+ "
"pixilatedinlv","Newest hobby project is to find rustic furniture and talavera pottery.  Also, cat has been hospitalized for the weekend.   sick kitty"
"neilhughes1","@craigthom I'll be there soon enough "
"HydrosonicIan","Ever have a bike tire with 65 pounds of air pressure explode right next to your ear? My ear is still ringing. "
"bennymareich","@mileycyrus YOU FLIGHT TO GERMANY BUT NOT TO AUSTRIA WHY??? "
"loveivy","@missyuu  i guess... :\"
"ilovefalloutboy","Omg i'm so sorry for fob's concert..omg  i'm really sad."
"pixelatedsoul","Just finished Henry Hatsworth.  Do I dare start the harder difficulty?!  I dare. "
"ColorBakery","@ErinEven Oh I understand, it's happened to me and I never forgot it. I can tell you stories about OOBE's. Haven't had one for a while. "
"JesseJacobsss","No GaGa for me and @toreo  shows all sold out."
"chrissydak","sad that I am stuck home sick in bed "
"yamaduc","Too many errands to run today. "
"NicoleGlazer","Great day in Trabuco today.Spent the morning in Aliso looking @ homes. Thinkin' I want to nap on the hamock now, but work calls. "
"deniSSe95","nothing right now "
"dutchkaatmossel","watching Holland's got Talent. I so wished we had a Susan... I can safely say we don't "
"num3yankfan","The Indians scored 13 runs in 1 inning "
"OXBastetXO"," S just called to let me know he's not feeling well and probably won't be to Dad's bday tonight. "
"samjmoody","@danymcfly No we won't be coming unfortunatley "
"AlanAustinShaw","VOC Emission Controls..   Can't wait for ffffffffffffFffffffffffffriday."
"melissa15678","@nwoolhouseuk I have no dvd  seen it before though, brilliant film. Enjoy!"
"FootballGeek","@RiverAveBlues The Indians are looking like the 27 Yankees. "
"elisemichelle01","We would be stuck in traffic "
"Grafixdan","Ian has joined me for an evening of DVD watching. Trouble is, he is so fussy, that we have dimissed 25 films so far.Grrrrr "
"kmwjimison","Less than a week until the month of being out of town begins. "
"nadineab","Hey Rosemary, don't worry about it!!! Don't want them wondering why ur shopping at this sad time. So sorry to hear the bad news. "
"ryfaa","finished off da heavy packing..cannot sleep though  oh well ill just hang out"
"ashnicole38","i miss him so bad "
"ElshaHawk"," clouds rolling in, hard to believe I got a little sunburned today.."
"JayEeEssEss","@whoisB you know I'm just NOW seeing the @ replies you sent me in March. I suck.  I'm catching on though! =D"
"nina_popovic","@lynzibell me too.. "
"Dhru","facebook feed Shirley Gilbert Back from Wembley and gutted  But on the plus side I did see Dermot.. http://tinyurl.com/c9ppjj"
"rlhood","I'm glad I'm watching the Bats win and not the Yankees lose "
"heyyimsara","juss got off the train feet killin me  &amp;the bus is no where 2 be found so gotta walk"
"robtdx","fell asleep watching the young ones woke up at 9.20pm , missed Britans got tallent  shit lol ahh well hangs on my own tonight  x"
"TheYaoiReview","@debaoki Stop tormenting me! I'm not there yet! Now I have to wait until next year.  "
"wagedomain","Just saw Dragonball: Evolution. As a major fan of DB/DBZ, that was a major disappointment.  GF unfamiliar with DB, found it enjoyable"
"emilyosment_","Going to NYC tommorrow that means airport again  baha"
"LoriDevoti","@bonnievanak I have a very sick puppy too. Two actually. One old, one inflammatory disease. Take turns not being able to walk.  Hugs!"
"the_anke","@glennbookingbug oh no! That's not fun  Sent you a message through your website today. Thinking of embedding in a site for gig bookings"
"WhyIsMyNameDave","my phone keeps glowing and I keep think I have a text but it's only to saw low battery "
"Beverley0308","@Hapson sorry still don't like him "
"G17GRE","@meldrum83 yeah sure was got beat again "
"Seli7354","I hate bad weather! "
"chanika"," my purse broke. the clip at the top fell apart and i can't find all the pieces... i wonder who can repair such things"
"MelodyMelodyyy","At home, and I don't want to leave "
"ashgrovegirl","@ddlovato awww. why. omg i really wana c ure new show but it is not out here "
"guapakitty","where the hell is my asos order!?! i want my pocket rocket and cardigan !! "
"kylaworld","@Dan_Schwartz HOH???  I think you added me due to my stunning personality!  But seriously, I can't remember.. "
"EmmaLovesJLS","@XxJess24xX y do u hate yourself? "
"NigroDicaprio","Food is not coming   oh well, I tried.  Might hit honey kettle chicken, heard it was aight."
"TheGuyPalermo","@andymob Representative only with the 'dunno'. Frittenbude was the only other response i got "
"dmnguys","@scottabel Thanks for the Mr. Tweet recommendation. Ashamed to say we'd never heard of it before "
"kenzie_lynne","i lost my cell phone.     gunna go hangout with my friends again. peace out girl scouts.  lol  =]"
"spineoft33th","i want it to rain! just liddo sprinkles right now "
"Jones067","Wishing I couldve gone to a day  but I have to study for ATI and patho."
"TAHNEEstump","@xolaurencexo i just want FALLOUTBOY, right here, right now   ?"
"NINtrentreznor","@One_Mean_Spider I know what ya mean "
"Reintjecat","@MariekevdP Hmm Musical is not really my thing, but I'll see what I can do for you. I'm off to bed now, have a headache  NN! xoxo"
"NYCPrincezz1","Who will stop this bloodbath the Yankees r currently n and its only the 3rd innin "
"pheeduane","I want jbro to comment me! "
"bennymareich","@ddlovato HEY DEMI WHY DO YOU NOT COME TO AUSTRIA??? "
"hunnylovins","@asot400 nothing is working "
"hello_jodie","Everyday that there is someone new who meets a Twilight cast member in Vancouver I kick myself for deciding not to go. "
"Sofiaajaramillo","@ddlovato WHYY??!! IS NOT MY FAULT!, MY PARENTS ARE BUSY FOR 1TH TIME!  I FEEL UPSET... (( (u)"
"leftest","i pray my child doesnt have drug addiction like his father once had  .."
"bennymareich","@mileycyrus YOU FLIGHT TO GERMANY BUT NOT TO AUSTRIA WHY??? "
"MzDivaNicki","@princessq82 dang tammy  but im not bothering anyone!! lol my motto!?!"
"DaveRiich","@musedandabused you did not respond to my tweet! "
"cornbreadturner","@DoNotDisconnect  you pirate. every time you do that, a kitten dies horribly. also, cd quality &gt; mp3"
"ilovefalloutboy","@petewentz @trohman @fuckcity omg i'm so so sorry guys  that's really sad. I hope you're safe now."
"BreakDancingAmy","@emmyISemily my LEGS look really kool? rofl datz a 1st  buhhh byeeee "
"anthonysd","bout to leave but dont want to leave my new music set up "
"EternalAegis","@Cherrim Aww  I'll probably just end up paying $30 for one off eBay at this rate XD"
"bethotheclowno","'s WoW skillz are a little rusty.  "
"lovealways116","so tired, why am i still studying?? "
"angx","http://twitpic.com/3jqma - I wish they fit  maybe I can just stuff them...A LOT."
"BreeSymone","Its soooo F'in beautiful outside! Clear skies, sunny and hot ass hell! Too bad I dont have a life here!!!  lol"
"xXZenibXx","ur beta off with her... im beta off without u...everybody wins yet somhow ive lost "
"wedding_garters","@twibes What's up with the website?   It's not working     Won't load at all."
"crispyzombie","I wish i still had some j-rock in my library. "
"trigger_101","I wish I could flyyyyyyy "
"Robbie66","First session not good, lost quarter of stack with KK and down to just over 3K now. Will be in need of a double up soon if no improvement "
"loyal_heart","headache , headache , headache  it's too much "
"Carol1215","Spending a beautiful weekend in bed with the flu really sucks. "
"PolkaDotSkirt","has made the recommended improvements and now HAS 150 WORDS TOO MANY. Damn essays "
"cr3","@mothsandlace *hugs innaface instead* - man, I need some minerals. i'm running at 105f. "
"BrydieW","has headache and a tummyache but on the bright side, college monday.... oh yey "
"SelenaXOXO","i am the REAL selena gomez and i am locking my account cuz some kids whr trying to hac it   sorry to all u good ppl"
"staceyyx","headacheeee  hahaha bad lads army"
"ashleybalding","@kevinmasch oh no sorry to hear that "
"jlphair","Oh My poor SUGA!  Make Me cry...  &lt;\3JLP"
"koolpersonrockz","soooo tirred and Jade won't pick up  Im hungry. &amp; lost my voice for a while."
"norajonas","@Jonasbrothers I miss youu  love ya sooo much"
"leabella","@ricklondon  but  @jayjern  isn't there right now    just tell him be nice and follow back"
"BobbyHendrix","I need a way to get to the kid liberty show tonight  any takers?"
"butterflymaven","Too bad everyday can't be a Follow Friday...what are we supposed to do on Saturdays?  "
"thejovz","I can't sleeeeeeeeep!!!  I need a goodnight kiss!"
"caliente_roja","i'm being selfish for sleep i  think. "
"SuzyKaaay","at work. Feeling sickly "
"steven_lewis","@LeanneF You would think they would be worth something but Google says not "
"ravefamous","@mrmiggidude haha  don't spoil the fight ok I'll remove your device updates!"
"JasiBby","Got Back From Mah Lil Bros baseball Game We Won Last Nite Lost 2Day Ugh!! I Was Mad!Home Now Wit A Tummy Ache!! "
"ssllaatteerrx2","My oldest little sister just woke up from her nap and she wants my iPod. "
"ahmier","@biiscuiitz Oh NOW you want to speak.  Hmph! Yess. I'm done puts me in my place. I'm actually listening to that now. Get out of my iTUNES!"
"MJFessey","is doing a shit load of laundry - Laundry night "
"Tokiyoko","Why is it that I love all the things I shouldn't? It's very unhealthy. It's going to be the death of me one day "
"DannysJoleenie","going home now.. cant find info i need.  have to find another way to win..."
"ChristieCohee","I want to take a trip across the country with my friend, but my parents want me to find a job first "
"OceanUpTwitt","@Hannais Maybe next contest Ill invest in making it available to everyone @jadesamantha_  I just lost 2 followers for some reason."
"infernaltechno","@ionPhoto d00d...i so failed in hitting u back last night "
"sap93","awwww it'll b ovr by 2moro......damn  #asot400"
"FarrynBurchell","I am soooooooooooooo bored!!! 11th hr on the train in the last 24hrs! Why is my school so far away!?! And why do i have no food!? "
"divaliciouskait","homeworkkk "
"OhhMegg","@vuhhnessa I have a thing for blue eyes. Uh. I wish guys around where I lived looked like that. It is not fairr. "
"heatherann87","Is finally home. Glory! Next on the Sat. list - nap, clean room, then last paper of the semester! But I still don't want to do it "
"justdewitt","@tinyalice really? That sucks. "
"mzrOseMarie","OK...NEVER start painting a wall and NOT put on shoes you dont care about. "
"RealLifeSarah","@Broyhill_Inn Family today, Business Event tomorrow!  When we get back, it's going to snow!  "
"jimmski","@phillprice Currently got the MK5 Golf &amp; love it. Wanted a MK6 but too small for the family now  got a new Mazda 6 coming Monday "
"snxy","@prgrsvGRL YES! i hate the post-rave 'come down'! haha! when it's all over  #asot400"
"hello_jodie","@KelleeAnne No shit man.  I *almost* went back when they first got there before they started production. I guess I'll just have to wait."
"jer_E_my_uh","knee still not ready  good luck to my squad pacrim all stars"
"HayleyyFitch","@David_Henrie i wish i could meet you but you're alll the way out in los angeles  lol"
"jhave","witnessed not one but two car accients today "
"TheBubbleGum","Ugh.. Im tired but i don't wanna go to bed  btw, 17 Again was AWESOME!  Uh.. im so bored.  Well well, i always find something to do.. XD"
"matthewdr","Accidentally hacked into @ReBinder's online store and created a 10% auto discount. CEO is      Must make up for it by increasing sales 10%"
"kurynnicole","Oh gahhh,they r fixing to announce!!! :o i was suppppeerrr flat!! "
"mollymag","How did I get to the point where I'm six credits from being done with my course work?  Feeling too close to no longer being a student.  "
"stephamichele","@hansonmusic I wish the fan event in Tulsa was NOT during my college graduation  miss you guys!"
"ashtonjonas","I'm Confoosed Haha "
"nikki_j","Heading to work from babysitting since 8am gahhh so tired "
"verityluvsnick","Got a tummy ache.. "
"lauraelizabethm","Uh oh...thunder. So much for having cute hair at &quot;Another Music Festival&quot; tonight...rain will ruin it. "
"chicsndvl","@bjyork ugh, I know, tell me about it!  They just don't know how to get runs!  "
"freecity2008","Miley isn't feeling well "
"elise0605","@ComedyQueen @keza34 thats a shame, i loved him in  shameless!   Just goes to show how different these celebs are in real life!"
"JBnVFCLover786","@drewryanscott lol the 1st one is hilarious..yeah but anyway, enjoy yourself..I'm jealous of all those ppl who are gonna see you guys  lol"
"akosnitzky","@tedhill Although half the wins are against WSH.  "
"Darkshear","Is waiting for a tow "
"beckyggxoxo","@ddlovato Hi,How long are you in London? I have uni lectures during your show on Wednesday "
"SassyMyMy","IDK Y BUT IM FEELIN KINDA SAD "
"Cheyenne9720","im lonely  keep me company! 22 female, Detroit - Michigan"
"Shhannon","   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today"
"Frannybobs","@victee no  before and after was just radio2 staff but i loved the whole of that show - i laughed my socks off throughout the 3 hours!"
"Bamyo13","Update, the computer with the moniter = 2053.98  very far from now, because i am starting a 0 lol"
"TGNYStreetTeam","emailing OceanUP about today's event, even though I didnt go! "
"laligatvonline","it's 4 am now. . . i need to go to bed. I am dying of football "
"Ciel_Rouge","Stuck in traffic on the Cross Bronx "
"jul_maniscalco","@danielle_willis haha yeahh we should go together. My poor little sick car "
"jaelau","i don't want my tutor to come. i'm hiding my shitty phy test from him btw. and i have no confidence for my eng test on mon "
"CarmineCent","@KimKardashian psh I burned my eye with shampoo real bad.  it reminded me of ur sunburn "
"wendyavalos","HOMEWORK....AND PE PROJECT "
"uppityblack","@SeattleFutbol no Supersonics "
"mo3ath","@isoulq8 ee sheft shloon "
"thaillestbunny","@bbsblazed  so going to the gc with out me...bummin make sure u get lot's of pics ;)"
"juliee82208","miss fla. already "
"theresa001","Took niece &amp; nephew to Blockbuster- rented &quot;Marley&amp;me&quot;, &amp; &quot;Slumdog Millionaire&quot; Niece kiki799 reinjured ankle @ last night b-ball game "
"CedInDaBigEasy","Honey I'm home! Oooh crap!!!! It's back to reality! I hate vacations!!! "
"JoanneMatthews","- Five in the morn and am awake wiv a migraine "
"qt_bue_t","just ok i guess  poo didnt get a good person"
"paulpuddifoot","@msonline_uk i had a Green Day spell years ago. Haven't listened to them in such a long time "
"pinacolada99","omg my sister gave me the flu. i hope i get over it fast "
"_Brittany_","@m_alice_hale nope its amazing! i ruined my ipod touch "
"teributcher","Frannie, love you. So sorry your afternoon didnt turn out as planned. "
"Limes102","@flameyjayme you have to do it "
"shazyck","Has decided against the tattoo  as I promised the agency I haven't made any changes. Does a new nose count?"
"MichaelMashburn","17 Again was pretty darn good. Now its time for work "
"Mmimii","@mileycyrus Ahh.. Now I'm sad because I was there just 2 days ago "
"richard3870","Did the walk for autism and took a nap. Ugh! Now back to the homework. "
"nUn0","@ddlovato do u even get to know me messages? "
"SophieBeard","reinstalling my phone software for my computer in the hope it'll charge it  oh and http://5ophie3lizabeth.wordpress.com/"
"Caren23","i dont feel like cooking but my tummy is growling cry "
"manishsinha","@SathyaBhat Amongst the spammers? This is bad news "
"shaunarawrr_x","@ddlovato we'll miss you toooooooo  xoxo"
"becca82390","Soooo hungover. Still. Horrible night last night "
"bluebutterfly_","@soledaddy  Are you starting to feel any better?"
"bennymareich","@ddlovato HEY DEMI WHY DO YOU NOT COME TO AUSTRIA???  AND YEAH I WISH YOU A GOOD FLIGHT "
"Cora3723","im lonely  keep me company! 22 female, Lansing - Michigan"
"jackieeejones","@joannademakis Hey there!!!  what a game!  but i was glad to be there."
"xxbiancaa","@xosophietweets Yeah that would be so cool   but life is complicated ...  i wish i lived in londen "
"bennymareich","@mileycyrus YOU FLIGHT TO GERMANY BUT NOT TO AUSTRIA WHY??? "
"blondamb70","@K_in_85224   Call me if you feel like talking"
"eclectic_chaos","Watchin Throwdown w/ Bobby Flay..I wish I could cook  "
"AnnaElizabethC","Oh no noo major headache "
"RVingOutpost","Back from Urgent Care.  Daughter broke her finger yesterday at softball practice.  We thought it was just jammed . . . "
"bennymareich","@ddlovato HEY DEMI WHY DO YOU NOT COME TO AUSTRIA???  AND YEAH I WISH YOU A GOOD FLIGHT "
"zombean","http://twitpic.com/3jr81 - my face is still swollen "
"kaylajellis","I don't want to leave London  if I can hide somewhere on the tube I will"
